step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
88,229760,1408,0.016536979460271165,1.0,1.0,,,,,,,,,
89,232336,1424,0.017859633971976926,1.0,1.0,0.015942037921348108,1.0,1.0,,,,,,
90,234912,1440,0.017555874903743676,1.0,1.0,,,,,,,,,
91,237360,1456,0.01910242074891996,1.0,1.0,,,,,,,,,
92,239936,1472,0.018174154494911443,1.0,1.0,,,,,,,,,
93,242640,1488,0.017550427971692262,1.0,1.0,,,,,,,,,
94,245216,1504,0.016206786285993122,1.0,1.0,,,,,,,,,
95,247920,1520,0.01889531112989382,1.0,1.0,,,,,,,,,
96,250496,1536,0.0177781078625391,1.0,1.0,,,,,,,,,
97,253200,1552,0.017785843636265765,1.0,1.0,0.01832144953480445,1.0,1.0,,,,,,
98,255776,1568,0.019454321205598632,1.0,1.0,,,,,,,,,
99,258352,1584,0.015851394000443025,1.0,1.0,,,,,,,,,
100,260928,1600,0.019826317318388388,1.0,1.0,,,,,,,,,
101,263504,1616,0.01811722034332016,1.0,1.0,,,,,,,,,
102,266080,1632,0.015586599233922494,1.0,1.0,,,,,,,,,
103,268784,1648,0.017539714796741337,1.0,1.0,,,,,,,,,
104,271360,1664,0.01825066758440659,1.0,1.0,,,,,,,,,
105,273936,1680,0.015760127817224367,1.0,1.0,0.019352740035530155,1.0,1.0,,,,,,
106,276512,1696,0.019424509600177553,1.0,1.0,,,,,,,,,
107,279088,1712,0.017619453453144373,1.0,1.0,,,,,,,,,
108,281536,1728,0.01684075769646106,1.0,1.0,,,,,,,,,
109,284112,1744,0.015943851516651127,1.0,1.0,,,,,,,,,
110,286688,1760,0.017904582421217303,1.0,1.0,,,,,,,,,
111,289264,1776,0.016906020883582378,1.0,1.0,,,,,,,,,
112,291840,1792,0.016058943324114488,1.0,1.0,,,,,,,,,
113,294416,1808,0.019729025550049666,1.0,1.0,0.01747112674428928,1.0,1.0,,,,,,
114,296992,1824,0.01713435137915473,1.0,1.0,,,,,,,,,
115,299568,1840,0.016252528251972716,1.0,1.0,,,,,,,,,
116,302272,1856,0.018639970638437392,1.0,1.0,,,,,,,,,
117,304976,1872,0.01572991618314916,1.0,1.0,,,,,,,,,
118,307552,1888,0.015252381496036773,1.0,1.0,,,,,,,,,
119,310128,1904,0.017024531734492025,1.0,1.0,,,,,,,,,
120,312704,1920,0.016685983740770384,1.0,1.0,,,,,,,,,
121,315408,1936,0.017710668411049367,1.0,1.0,0.016921105292273444,1.0,1.0,,,,,,
122,317984,1952,0.0173629920140114,1.0,1.0,,,,,,,,,
123,320560,1968,0.017987521128448335,1.0,1.0,,,,,,,,,
124,323264,1984,0.017150958870446154,1.0,1.0,,,,,,,,,
125,325968,2000,0.016490825699891107,1.0,1.0,,,,,,,,,
126,328544,2016,0.016595561690932535,1.0,1.0,,,,,,,,,
127,331120,2032,0.014847759880723895,1.0,1.0,,,,,,,,,
128,333824,2048,0.017934346135900482,1.0,1.0,,,,,,,,,
129,336400,2064,0.018666424223674715,1.0,1.0,0.020810285448101803,1.0,1.0,,,,,,
130,338976,2080,0.018184334663129638,1.0,1.0,,,,,,,,,
131,341680,2096,0.01958113942440262,1.0,1.0,,,,,,,,,
132,344256,2112,0.01657177720823177,1.0,1.0,,,,,,,,,
133,346960,2128,0.01868478917202592,1.0,1.0,,,,,,,,,
134,349536,2144,0.018893572687880354,1.0,1.0,,,,,,,,,
135,352112,2160,0.016657881983213135,1.0,1.0,,,,,,,,,
136,354688,2176,0.017585825241912163,1.0,1.0,,,,,,,,,
137,357264,2192,0.017783402930948367,1.0,1.0,0.015762314972538254,1.0,1.0,,,,,,
138,359840,2208,0.017429877882908,1.0,1.0,,,,,,,,,
139,362416,2224,0.019233924725932335,1.0,1.0,,,,,,,,,
140,365120,2240,0.017852062736010133,1.0,1.0,,,,,,,,,
141,367824,2256,0.015693792243849668,1.0,1.0,,,,,,,,,
142,370528,2272,0.01707180684420761,1.0,1.0,,,,,,,,,
143,373104,2288,0.016275846814184713,1.0,1.0,,,,,,,,,
144,375808,2304,0.015895207755404952,1.0,1.0,,,,,,,,,
